,index,distance,name,scheduleType,storeOpen,storeClose,storeNumber,isStoreOpen,address,amenities,orderingAvailable,isCurbsideDeliveryAvailable,fuelTypes,latitude,longitude,food,fuel,restrooms,diesel,ethanolFreeGas,open24Hours,teslaChargingStation,propane,chademoChargingStation,ccsChargingStation
949,17,6.8,14548 e colonial drive,24hours,00:00:00,00:00:00,5142,False,"{'address': '14548 e colonial drive', 'city': 'orlando', 'state': 'FL', 'zip': '32826'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.56475,-81.16596,True,False,False,False,,True,False,False,False,False
950,26,9.48,9235 narcoosee rd,24hours,00:00:00,00:00:00,5174,False,"{'address': '9235 narcoosee rd', 'city': 'orlando', 'state': 'FL', 'zip': '32827'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.4330172,-81.2567132,True,False,False,False,,True,False,False,False,False
951,33,11.46,3510 n us hwy 17-92,24hours,00:00:00,00:00:00,5117,False,"{'address': '3510 n us hwy 17-92', 'city': 'lake mary', 'state': 'FL', 'zip': '32746-4500'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.7324536,-81.3095987,True,True,False,True,False,True,False,True,False,False
952,39,14.26,13830 boggy creek rd,24hours,00:00:00,00:00:00,5366,False,"{'address': '13830 boggy creek rd', 'city': 'orlando', 'state': 'FL', 'zip': '32824'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'E85'}, {'category': 'E15'}, {'category': 'xEthanol'}]",28.364467,-81.310514,True,True,True,True,False,True,True,False,True,True
953,41,15.1,2690 w 25 st,24hours,00:00:00,00:00:00,5158,False,"{'address': '2690 w 25 st', 'city': 'sanford', 'state': 'FL', 'zip': '32771-7505'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': True, 'ccsChargingStation': True}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.7868,-81.2972,True,False,False,False,,True,False,False,False,False
954,43,15.46,14876 narcoosse rd,24hours,00:00:00,00:00:00,5187,False,"{'address': '14876 narcoosse rd', 'city': 'orlando', 'state': 'FL', 'zip': '32832'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.34851,-81.233716,True,True,True,True,False,True,False,True,False,False
955,46,17.12,4660 w sr 46,24hours,00:00:00,00:00:00,5218,False,"{'address': '4660 w sr 46', 'city': 'sanford', 'state': 'FL', 'zip': '32771'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.81177,-81.33388,True,True,True,True,False,True,False,True,False,False
956,3,7.64,2522 enterprise rd,24hours,00:00:00,00:00:00,5171,False,"{'address': '2522 enterprise rd', 'city': 'orange city', 'state': 'FL', 'zip': '32763-7906'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.91703,-81.295449,True,True,True,True,False,True,False,False,False,False
957,7,10.76,3400 howland blvd,24hours,00:00:00,00:00:00,5354,False,"{'address': '3400 howland blvd', 'city': 'deltona', 'state': 'FL', 'zip': '32725'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': True, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.949584,-81.250894,True,True,True,True,False,True,False,True,False,False
958,11,13.02,1700 s. woodland blvd,24hours,00:00:00,00:00:00,5292,False,"{'address': '1700 s. woodland blvd', 'city': 'deland', 'state': 'FL', 'zip': '32720'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': True, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.998416,-81.303805,True,True,True,True,False,True,True,True,False,False
959,47,27.62,1780 sr 44,24hours,00:00:00,00:00:00,5222,False,"{'address': '1780 sr 44', 'city': 'new smyrna beach', 'state': 'FL', 'zip': '32168'}","{'food': True, 'fuel': False, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",29.014832,-80.94057,True,True,True,True,False,True,False,True,False,False
960,19,34.22,1245 grumman place,24hours,00:00:00,00:00:00,5427,False,"{'address': '1245 grumman place', 'city': 'titusville', 'state': 'FL', 'zip': '32780'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': False, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.532114,-80.814391,True,True,True,True,False,True,True,True,False,False
